url,performance,accessibility,best_practices,seo
https://autowayaustin.com/,85.0,97.0,96.0,100.0
https://creditcarsorlando.com/,41.0,100.0,100.0,100.0
https://eastonmotors.com/,51.0,93.0,100.0,100.0
https://expressauto.com/,53.0,100.0,100.0,100.0
https://finesseacar.com/,75.0,92.0,100.0,92.0
https://gilbertmotorcompany.com/,44.0,96.0,100.0,100.0
https://gobgautos.com/,77.0,97.0,100.0,100.0
https://lofimotors.com/,38.0,80.0,79.0,92.0
https://midatlanticautofinance.com/,87.0,100.0,96.0,100.0
https://neighborhoodautos.com/,43.0,97.0,100.0,92.0
https://neo-motors.com/,43.0,93.0,100.0,92.0
https://paradisemotors.net/,52.0,94.0,96.0,92.0
https://regalcars.com/,41.0,93.0,100.0,92.0
https://rockysautocredit.com/,52.0,97.0,100.0,100.0
https://saberacceptance.com/,56.99999999999999,95.0,100.0,100.0
https://solutionsautogroup.com/,73.0,97.0,100.0,100.0
https://square1autosales.com/,43.0,96.0,100.0,100.0
https://sullivanmotorsnj.com/,40.0,97.0,100.0,92.0
https://superiorcarsonline.com/,73.0,92.0,100.0,100.0
https://topnotchusedcars.com/,85.0,97.0,100.0,100.0
https://vamosauto.us/,75.0,94.0,100.0,92.0
https://25wautos.com/,82.0,86.0,100.0,92.0
https://865autos.com/,77.0,89.0,100.0,92.0
